request_id	version	question	answer
req-0020	v1	What is Retrieval-Augmented Generation?	Retrieval-Augmented Generation (RAG) is an approach that enhances language models by combining generative LLMs with retrieval from external knowledge bases. Instead of relying solely on training parameters, RAG retrieves relevant documents at inference time to condition the LLM. This process helps reduce hallucination, enables access to current information, and produces grounded, up-to-date answers.
req-0021	v1	What are the main components of a RAG pipeline?	The main components of a RAG pipeline are a retriever that searches a document store and a generator (LLM) that produces answers from the query and retrieved passages. The retriever takes a user query and returns the most relevant passages, while the generator receives both the original query and the retrieved context to produce a grounded output.
req-0022	v2	What is dense retrieval?	Dense retrieval is a neural approach to document retrieval that outperforms traditional keyword matching by using neural embeddings and cosine similarity to determine relevance. In this approach, both queries and documents are encoded into dense vectors using a bi-encoder model, and at query time, the query vector is compared to pre-computed document embeddings via fast nearest-neighbor search. This method captures semantic similarity, enabling the system to match queries with relevant documents even when they share no common keywords.
req-0023	v1	Why is chunking strategy important in RAG?	The chunking strategy is important because it significantly impacts the quality of a RAG pipeline by affecting retrieval precision and context window fit. Chunks that are too large may contain irrelevant content and exceed context limits, while chunks that are too small may lack the necessary context to answer questions.
req-0024	v2	What advanced RAG techniques exist beyond basic retrieval?	Based on the provided context, the advanced RAG techniques that exist beyond basic retrieval include re-ranking, query expansion, HyDE (Hypothetical Document Embeddings), and iterative retrieval for multi-hop questions. Re-ranking uses a cross-encoder model to re-score retrieved candidates for higher precision, while query expansion generates multiple query reformulations to improve recall. Additionally, HyDE first generates a hypothetical answer to use for retrieval, and iterative retrieval is used to handle multi-hop questions.
req-0025	v1	What are vector databases used for?	Vector databases are purpose-built systems used for managing, storing, and querying high-dimensional vector embeddings alongside their metadata. They enable fast similarity search and support approximate nearest-neighbor (ANN) searches at scale. Additionally, they use specialized indexing structures to facilitate fast semantic search over millions or billions of embeddings.
req-0026	v2	What is FAISS?	FAISS (Facebook AI Similarity Search) is a library developed by Meta AI Research for efficient exact and approximate nearest neighbor vector search. It provides various index types—such as IndexFlatL2, IndexIVFFlat, and IndexHNSWFlat—to handle similarity searches. Additionally, the library is highly optimized for CPU and GPU execution, supporting billion-scale vector collections for applications like RAG pipelines and recommendation systems.
req-0027	v2	How do text embeddings capture semantic meaning?	Text embeddings capture semantic meaning by converting text into numerical vectors where semantically similar texts produce geometrically close vectors. Embedding models are specifically trained to place these similar texts near each other within the embedding space. Furthermore, the embedding dimensions typically range from 384 to 3072 depending on the chosen model.
req-0028	v2	What is HNSW?	HNSW (Hierarchical Navigable Small World) is a graph-based algorithm designed for approximate nearest-neighbor search. It operates by building a hierarchical structure of multiple graph layers, where higher layers feature fewer nodes with long-range connections and lower layers contain all nodes with shorter-range connections. During searches, the algorithm begins at the top layer and greedily navigates toward the query, descending through the layers to achieve higher precision.
req-0029	v2	What is hybrid search in vector databases?	Hybrid search in vector databases is a retrieval method that combines the strengths of neural and keyword-based searches. Specifically, it merges dense vector search—which excels at semantic matching—with sparse keyword search using BM25. These two approaches are integrated using Reciprocal Rank Fusion, resulting in a more robust combined ranking that handles both semantic variants and precise keyword matches.
req-0030	v2	What is LangChain?	LangChain is an open-source framework designed to simplify building applications with large language models. It provides modular components and abstractions—such as chains, agents, and data connections—for prompt management, memory, and retrieval. Additionally, it supports a wide variety of LLM providers, vector stores, and embedding models through a consistent interface.
req-0031	v2	What is LangChain Expression Language (LCEL)?	LangChain Expression Language (LCEL) is a declarative syntax used for composing LangChain components. It allows components such as prompts, LLMs, and output parsers to be chained together in a readable, functional style using the pipe operator (|). Additionally, LCEL chains support streaming, async, and batching operations natively.
req-0032	v1	What is LangGraph?	LangGraph is an extension of LangChain used for building stateful, multi-actor applications as directed graphs. It represents workflows where nodes are computation steps and edges control the flow between them. Crucially, LangGraph supports cycles, allowing the graph to revisit previous nodes based on conditions to enable iterative agentic workflows.
req-0033	v2	What memory types does LangChain support?	LangChain supports ConversationBufferMemory, ConversationSummaryMemory, ConversationWindowMemory, and vector store memory. These memory types enable conversational context across turns, where ConversationBufferMemory stores the full history verbatim, ConversationSummaryMemory maintains a running summary, ConversationWindowMemory keeps only the last $k$ exchanges, and vector store memory retrieves relevant past exchanges semantically. The provided context does not mention any other specific memory types beyond these four.
req-0034	v1	What are LangChain retrievers?	LangChain retrievers are components that fetch relevant documents from a data source given a user query. They support vector stores and BM25, and provide a standard `get_relevant_documents(query)` method regardless of the underlying data source. LangChain includes specific retrievers for FAISS, Chroma, Pinecone, Elasticsearch, and BM25 keyword search.
req-0035	v2	What is LangSmith?	LangSmith is a tool for comprehensive monitoring and observability of LLM applications in production. It automatically traces calls and sends them to the LangSmith server, where dashboards aggregate metrics such as latency percentiles, error rates, token costs, and custom feedback annotations. Additionally, it enables human evaluators to annotate traces with feedback like thumbs-up/down to help build evaluations.
req-0036	v2	What information do LangSmith traces capture?	LangSmith traces capture comprehensive telemetry about LLM application behavior, specifically recording inputs, outputs, latency, token usage, and errors for every component in a chain. For individual runs and spans, they record the exact input, output, time taken, and any errors encountered. Additionally, for specific LLM calls, LangSmith tracks the number of prompt tokens, completion tokens, and the estimated cost.
req-0037	v1	What is the LangSmith Prompt Hub?	The LangSmith Prompt Hub is a centralized repository used for managing, storing, versioning, and sharing prompt templates. It supports features like A/B testing, auditing, and rollbacks by creating a new versioned snapshot every time a team pushes a prompt template using the LangSmith client.
req-0038	v2	How does LangSmith help monitor production LLM applications?	LangSmith helps monitor production LLM applications by providing latency percentiles, error rates, token costs, and feedback annotations. Dashboards aggregate these metrics across thousands of traces to display p50, p95, and p99 latency, error rate trends, and cost breakdowns by LLM call or chain step. Additionally, human evaluators can annotate these traces with thumbs-up/down feedback or custom scores to support ongoing evaluation.
req-0039	v2	What are LangSmith datasets used for?	LangSmith datasets are used for the systematic evaluation of LLM applications. They consist of collections of example inputs and expected outputs that allow teams to run batch evaluation experiments. By utilizing these curated datasets of representative queries and reference answers, developers can effectively compare model versions or prompt changes.
req-0040	v2	What is RAGAS?	RAGAS (Retrieval Augmented Generation Assessment) is an open-source framework specifically designed for evaluating RAG pipelines. Unlike traditional NLP metrics that require exact match comparisons, RAGAS uses LLMs as evaluators to assess key quality dimensions—such as factual grounding, relevance, and whether answers are supported by retrieved context. Additionally, it provides a standardized benchmark that makes it easy to compare different RAG configurations.
req-0041	v1	How does RAGAS compute faithfulness?	RAGAS computes faithfulness by extracting claims from the generated answer and checking whether each claim can be inferred from the retrieved context. Specifically, it uses an LLM to decompose the answer into atomic statements and then verifies each statement against the retrieved passages. A high score means the answer is well-grounded and free of hallucinated facts.
req-0042	v2	What is answer relevancy in RAGAS?	Answer relevancy in RAGAS measures how well a generated answer addresses the original question. It operates by using an LLM to generate synthetic questions that the answer naturally addresses, and then computes the cosine similarity between these synthetic questions and the original question. A high score on this metric indicates that the answer is focused, directly responsive, and supported by the retrieved context.
req-0043	v2	What is context recall in RAGAS?	Context recall in RAGAS measures how well the retrieved context covers the information needed to answer a question, evaluated against a ground truth reference. It works by comparing each sentence of the reference answer against the retrieved context to check if the necessary information to derive that sentence is present. A high recall score indicates that the retriever successfully fetched passages supported by the retrieved context.
req-0044	v1	What inputs does RAGAS evaluation require?	RAGAS evaluation requires user queries, generated answers, and retrieved contexts, which must be a list of individual passage strings rather than a single concatenated string. Additionally, reference answers can optionally be provided.
req-0045	v2	What is Guardrails AI?	Guardrails AI is an open-source framework designed to add safety and validation layers to LLM applications. It allows developers to use a declarative approach to specify constraints on LLM outputs and automatically enforce them through various validators. When validation fails, the framework can execute configurable actions such as raising an exception, fixing the output, filtering it, or refining the prompt and retrying.
req-0046	v1	What is PII and why is it important to detect in LLM responses?	PII stands for Personally Identifiable Information and includes data like names, email addresses, phone numbers, and social security numbers that can identify an individual. It is critical to detect and protect in LLM deployments because exposing it can violate strict privacy regulations such as GDPR and HIPAA. Furthermore, when LLMs process or generate text containing PII, they risk leaking sensitive personal information to unauthorized parties.
req-0047	v1	What does structured output validation ensure?	Structured output validation ensures that LLM responses conform to expected data formats and schemas, such as JSON. It involves detecting invalid formats and applying repair strategies to fix common errors before passing the output to downstream systems.
req-0048	v2	What is Constitutional AI?	Constitutional AI is an approach developed by Anthropic to align language models with ethical principles by having them use self-critique to improve their responses. In this technique, a model evaluates its own outputs against a set of constitutional principles through a critique phase and a revision phase to ensure compliance. Ultimately, this process reduces the need for human feedback on harmful outputs.
req-0049	v2	What are common AI safety concerns with LLMs?	Common AI safety concerns with large language models (LLMs) include hallucination, toxicity, bias, PII leakage, and jailbreaking attacks. Hallucination involves generating factually incorrect yet plausible information, while toxicity and bias relate to producing offensive content and amplifying societal prejudices, respectively. Additionally, PII leakage occurs when models reproduce sensitive personal information, and jailbreaking attacks use crafted prompts to bypass safety filters.
